page_id,device_type_id,page_name,url,file_name,edit_flg,author,description,keyword,update_url,create_date,update_date,meta_robots,discriminator_type
"0","10","プレビューデータ","preview",,"1",,,,,"2017-03-07 10:14:52","2017-03-07 10:14:52",,"pagelayout"
"1","10","TOPページ","homepage","index","2",,,,,"2017-03-07 10:14:52","2017-03-07 10:14:52",,"pagelayout"
"2","10","商品一覧ページ","product_list","Product/list","2",,,,,"2017-03-07 10:14:52","2017-03-07 10:14:52",,"pagelayout"
"3","10","商品詳細ページ","product_detail","Product/detail","2",,,,,"2017-03-07 10:14:52","2017-03-07 10:14:52",,"pagelayout"
"4","10","MYページ","mypage","Mypage/index","2",,,,,"2017-03-07 10:14:52","2017-03-07 10:14:52","noindex","pagelayout"
"5","10","MYページ/会員登録内容変更(入力ページ)","mypage_change","Mypage/change","2",,,,,"2017-03-07 10:14:52","2017-03-07 10:14:52","noindex","pagelayout"
"6","10","MYページ/会員登録内容変更(完了ページ)","mypage_change_complete","Mypage/change_complete","2",,,,,"2017-03-07 10:14:52","2017-03-07 10:14:52","noindex","pagelayout"
"9","10","MYページ/お気に入り一覧","mypage_favorite","Mypage/favorite","2",,,,,"2017-03-07 10:14:52","2017-03-07 10:14:52","noindex","pagelayout"
"10","10","MYページ/購入履歴詳細","mypage_history","Mypage/history","2",,,,,"2017-03-07 10:14:52","2017-03-07 10:14:52","noindex","pagelayout"
"11","10","MYページ/ログイン","mypage_login","Mypage/login","2",,,,,"2017-03-07 10:14:52","2017-03-07 10:14:52","noindex","pagelayout"
"12","10","MYページ/退会手続き(入力ページ)","mypage_withdraw","Mypage/withdraw","2",,,,,"2017-03-07 10:14:52","2017-03-07 10:14:52","noindex","pagelayout"
"14","10","当サイトについて","help_about","Help/about","2",,,,,"2017-03-07 10:14:52","2017-03-07 10:14:52",,"pagelayout"
"13","10","MYページ/退会手続き(完了ページ)","mypage_withdraw_complete","Mypage/withdraw_complete","2",,,,,"2017-03-07 10:14:52","2017-03-07 10:14:52","noindex","pagelayout"
"15","10","現在のカゴの中","cart","Cart/index","2",,,,,"2017-03-07 10:14:52","2017-03-07 10:14:52","noindex","pagelayout"
"16","10","お問い合わせ(入力ページ)","contact","Contact/index","2",,,,,"2017-03-07 10:14:52","2017-03-07 10:14:52",,"pagelayout"
